id,title_id,title,description,date,url,pages,text_download_url
nla.obj-491585444,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],14th (2005),2005-11-08,https://nla.gov.au/nla.obj-491585444,51,https://trove.nla.gov.au/nla.obj-491585444/download?downloadOption=ocr&firstPage=0&lastPage=50
nla.obj-489884734,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],15th (2006),2006-11-07,https://nla.gov.au/nla.obj-489884734,91,https://trove.nla.gov.au/nla.obj-489884734/download?downloadOption=ocr&firstPage=0&lastPage=90
nla.obj-489928048,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],16th (2007),2007-11-07,https://nla.gov.au/nla.obj-489928048,86,https://trove.nla.gov.au/nla.obj-489928048/download?downloadOption=ocr&firstPage=0&lastPage=85
nla.obj-489930193,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],17th (2008),2008-11-04,https://nla.gov.au/nla.obj-489930193,81,https://trove.nla.gov.au/nla.obj-489930193/download?downloadOption=ocr&firstPage=0&lastPage=80
nla.obj-514376642,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],18th (2009),2009-11-03,https://nla.gov.au/nla.obj-514376642,87,https://trove.nla.gov.au/nla.obj-514376642/download?downloadOption=ocr&firstPage=0&lastPage=86
nla.obj-490430475,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],19th (2010),2010-11-10,https://nla.gov.au/nla.obj-490430475,94,https://trove.nla.gov.au/nla.obj-490430475/download?downloadOption=ocr&firstPage=0&lastPage=93
nla.obj-490464175,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],20th (2011),2011-11-08,https://nla.gov.au/nla.obj-490464175,105,https://trove.nla.gov.au/nla.obj-490464175/download?downloadOption=ocr&firstPage=0&lastPage=104
nla.obj-490481414,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],21st (2012),2012-11-06,https://nla.gov.au/nla.obj-490481414,99,https://trove.nla.gov.au/nla.obj-490481414/download?downloadOption=ocr&firstPage=0&lastPage=98
nla.obj-490492247,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],22nd (2013),2013-11-12,https://nla.gov.au/nla.obj-490492247,94,https://trove.nla.gov.au/nla.obj-490492247/download?downloadOption=ocr&firstPage=0&lastPage=93
nla.obj-490512490,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],23rd (2014),2014-11-11,https://nla.gov.au/nla.obj-490512490,116,https://trove.nla.gov.au/nla.obj-490512490/download?downloadOption=ocr&firstPage=0&lastPage=115
nla.obj-490513884,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],24th (2015),2015-11-11,https://nla.gov.au/nla.obj-490513884,122,https://trove.nla.gov.au/nla.obj-490513884/download?downloadOption=ocr&firstPage=0&lastPage=121
nla.obj-490602519,nla.obj-489106103,[Program &] abstracts [book] : [NSW Coastal Conference],25th (2016),2016-11-09,https://nla.gov.au/nla.obj-490602519,134,https://trove.nla.gov.au/nla.obj-490602519/download?downloadOption=ocr&firstPage=0&lastPage=133
